"ISO","ID","HORI","BTOP","BBOT","SAMPLENO","PHH2O","PHKCL","PHCACL2","CACO3","CASO4","ORGC","ORGN","C/N","CA","MG","NA","K","SUM","EXACID","EXAL","CECSOIL","CECCLAY","CECORG","ECEC","BS","ALS","ESP","EC","CHEMREM","EDITDATE","VERIFIED"
"ES",18,5,52,66,"740029",8.39999961853027,6.90000009536743,,30,,0.25,0.0500000007450581,,31.1000003814697,5.5,0,0.200000002980232,36.7999992370605,,,31.7000007629395,128,0.899999976158142,36.7999992370605,116,,,0.259999990463257,"","25.08.1992",""
"ES",18,6,66,82,"740030",8.69999980926514,7.19999980926514,,56.5999984741211,,0.159999996423721,0.0199999995529652,,25.3999996185303,4.09999990463257,0,0.200000002980232,29.7000007629395,,,24,56,0.600000023841858,29.7000007629395,124,,,0.230000004172325,"","25.08.1992",""
"ES",18,7,82,102,"740031",8.69999980926514,7.19999980926514,,50.7999992370605,,0.0599999986588955,0.0199999995529652,,24,4.69999980926514,0,0.200000002980232,28.8999996185303,,,24.5,52,0.200000002980232,28.8999996185303,118,,,0.280000001192093,"","25.08.1992",""
"ES",18,8,102,118,"740032",8.69999980926514,7.40000009536743,,69.8000030517578,,0.0299999993294477,0.0199999995529652,,18.5,3.20000004768372,0,0.100000001490116,21.7999992370605,,,17,45,0.100000001490116,21.7999992370605,128,,,0.219999998807907,"","25.08.1992",""
"ES",19,1,0,26,"840594",8,7.19999980926514,,9.80000019073486,,1.12999999523163,,,30,0.699999988079071,0.200000002980232,0.800000011920929,31.7000007629395,,,19.5,72,4,31.7000007629395,163,,,0.239999994635582,"","25.08.1992",""
"ES",19,2,26,52,"840595",8.19999980926514,7.30000019073486,,8.80000019073486,,0.620000004768372,,,28.7999992370605,0.699999988079071,0.200000002980232,0.600000023841858,30.2999992370605,,,19,71,2.20000004768372,30.2999992370605,159,,,0.189999997615814,"","25.08.1992",""
"ES",19,3,80,105,"840596",8.10000038146973,7.19999980926514,,8.5,,0.790000021457672,,,33.2000007629395,1.79999995231628,0,0.600000023841858,35.5999984741211,,,22.2999992370605,72,2.79999995231628,35.5999984741211,160,,,0.28999999165535,"","25.08.1992",""
"ES",19,4,105,140,"840597",8,7.59999990463257,,56.4000015258789,,0.819999992847443,,,25.7000007629395,0.400000005960464,0.200000002980232,0.300000011920929,26.6000003814697,,,8.69999980926514,35,2.90000009536743,26.6000003814697,,,,0.509999990463257,"","25.08.1992",""
"ES",19,5,140,150,"840598",8.30000019073486,7.69999980926514,,75.8000030517578,,0.280000001192093,,,20.6000003814697,0.300000011920929,0.200000002980232,0.300000011920929,21.3999996185303,,,4.90000009536743,8,1,21.3999996185303,,,,0.330000013113022,"","25.08.1992",""
"ES",19,6,150,180,"840599",8.39999961853027,7.69999980926514,,73.0999984741211,,0.129999995231628,,,,,,,,,,,,0.5,,,,,0.219999998807907,"","25.08.1992",""
"ES",19,7,40,50,"840600",,,,,,0.519999980926514,,,,,,,,,,,,1.79999995231628,,,,,,"","25.08.1992",""
"ES",19,8,65,75,"840601",,,,,,0.699999988079071,,,,,,,,,,,,2.40000009536743,,,,,,"","25.08.1992",""
"ES",19,9,90,100,"840602",,,,,,0.8299999833107,,,,,,,,,,,,2.90000009536743,,,,,,"","25.08.1992",""
"ES",19,10,125,,"840603",,,,,,0.930000007152557,,,,,,,,,,,,3.29999995231628,,,,,,"","25.08.1992",""
"ES",20,1,0,24,"840605",7.90000009536743,7.30000019073486,,35.5,,1.25999999046326,,,32.0999984741211,0.5,0,0.5,33.0999984741211,,,17.6000003814697,105,4.40000009536743,33.0999984741211,188,,,0.300000011920929,"","22.08.1996","OSP"
"ES",20,2,24,39,"840606",7.90000009536743,7.69999980926514,,72.0999984741211,,0.8299999833107,,,25.3999996185303,0.300000011920929,0,0.300000011920929,26,,,6.90000009536743,24,2.90000009536743,26,,,,0.379999995231628,"","22.08.1996","OSP"
"ES",20,3,39,52,"840607",8.19999980926514,7.90000009536743,,91.3000030517578,,0.550000011920929,,,,,,,,,,,,1.89999997615814,,,,,0.28999999165535,"","22.08.1996","OSP"
"ES",20,4,52,65,"840608",8.5,8.30000019073486,,99.6999969482422,,0.319999992847443,,,,,,,,,,,,1.10000002384186,,,,,0.239999994635582,"","22.08.1996","OSP"
"ES",20,5,65,70,"840609",8.10000038146973,7.80000019073486,,96.5,,1.11000001430511,,,,,,,,,,,,3.90000009536743,,,,,0.300000011920929,"","22.08.1996","OSP"
"ES",20,6,70,75,"840610",8.19999980926514,8,,97.1999969482422,,0.8299999833107,,,,,,,,,,,,2.90000009536743,,,,,0.270000010728836,"","22.08.1996","OSP"
"RU",204,1,5,0,"810001",,,,,,,,,,,,,,,,,,,,,,,,"","16.09.1992",""
"RU",204,2,0,12,"810002",3.70000004768372,3.09999990463257,,,,,,,,,,,,,,,,,,,,,0.119999997317791,"","16.09.1992",""
"RU",204,3,12,19,"810003",4.09999990463257,3.5,,,,,,,,,,,,,,,,,,,,,0.0799999982118607,"","16.09.1992",""
"RU",204,4,19,22,"810004",4.30000019073486,3.59999990463257,,,,,,,,,,,,,,,,,,,,,0.0900000035762787,"","16.09.1992",""
"RU",204,5,22,30,"810005",4.19999980926514,3.70000004768372,,,,,,,,,,,,,,,,,,,,,0.109999999403954,"","16.09.1992",""
"RU",204,6,30,37,"810006",4.30000019073486,3.79999995231628,,,,,,,,,,,,,,,,,,,,,0.109999999403954,"","16.09.1992",""
"RU",204,7,37,42,"810007",5.19999980926514,4.19999980926514,,,,,,,,,,,,,,,,,,,,,0.0500000007450581,"","16.09.1992",""
"RU",204,8,42,58,"810008",5,3.79999995231628,,,,,,,,,,,,,,,,,,,,,0.0700000002980232,"","16.09.1992",""
"RU",204,9,58,75,"810009",5.59999990463257,4.30000019073486,,,,,,,,,,,,,,,,,,,,,0.0799999982118607,"","16.09.1992",""
"RU",204,10,75,95,"810010",6.40000009536743,4.90000009536743,,,,,,,,,,,,,,,,,,,,,0.0599999986588955,"","16.09.1992",""
"RU",206,1,0,12,"810011",6.5,5.59999990463257,,,,,,,,,,,,,,,,,,,,,0.449999988079071,"","16.09.1992",""
"RU",206,2,12,21,"810012",5.40000009536743,4.69999980926514,,,,,,,,,,,,,,,,,,,,,0.589999973773956,"","16.09.1992",""
"RU",206,3,21,30,"810013",5.09999990463257,4.30000019073486,,,,,,,,,,,,,,,,,,,,,0.400000005960464,"","16.09.1992",""
"RU",206,4,30,57,"810014",5,3.79999995231628,,,,,,,,,,,,,,,,,,,,,0.28999999165535,"","16.09.1992",""
"RU",206,5,57,66,"810015",4.90000009536743,3.90000009536743,,,,,,,,,,,,,,,,,,,,,0.379999995231628,"","16.09.1992",""
"RU",206,6,66,73,"810016",5,4.5,,,,,,,,,,,,,,,,,,,,,0.52999997138977,"","16.09.1992",""
"RU",206,7,73,85,"810017",5,4.19999980926514,,,,,,,,,,,,,,,,,,,,,0.490000009536743,"","16.09.1992",""
"RU",206,8,85,92,"810018",5.40000009536743,4.40000009536743,,,,,,,,,,,,,,,,,,,,,0.180000007152557,"","16.09.1992",""
"RU",206,9,92,100,"810019",5.5,4.30000019073486,,,,,,,,,,,,,,,,,,,,,0.170000001788139,"","16.09.1992",""
"RU",207,1,0,5,"810020",,,,,,,,,,,,,,,,,,,,,,,,"","16.09.1992",""
"RU",207,2,5,13,"810021",4.80000019073486,4,,,,,,,,,,,,,,,,,,,,,0.189999997615814,"","16.09.1992",""
"RU",207,3,13,25,"810022",4.90000009536743,4,,,,,,,,,,,,,,,,,,,,,0.109999999403954,"","16.09.1992",""
"RU",207,4,25,54,"810023",5.09999990463257,3.90000009536743,,,,,,,,,,,,,,,,,,,,,0.180000007152557,"","16.09.1992",""
"RU",207,5,54,69,"810024",5.80000019073486,4.59999990463257,,,,,,,,,,,,,,,,,,,,,0.170000001788139,"","16.09.1992",""
"RU",207,6,69,85,"810025",5.80000019073486,4.59999990463257,,,,,,,,,,,,,,,,,,,,,0.200000002980232,"","16.09.1992",""
"RU",207,7,85,100,"810026",5.30000019073486,4.30000019073486,,,,,,,,,,,,,,,,,,,,,0.5,"","16.09.1992",""
