"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED"
"IT",14,4,40,60,"800103",42.1,32,8.9,0,0.5,0.8,0,0.9,0.1,0.3,14.1,99.7,2.2,12.6,1.9,5.6,"","14.06.1996","OSP"
"IT",14,5,60,80,"800104",42.1,32,8.9,0,0.5,0.8,0,0.9,0.1,0.3,14.1,99.3,2.2,12.6,1.9,5.6,"","14.06.1996","OSP"
"IT",14,6,80,110,"800105",42.7,31.9,8.9,0,0.5,0.8,0,0.9,0,0.3,13.9,99.9,2.3,12.8,1.9,5.7,"","14.06.1996","OSP"
"IT",14,7,110,140,"800106",42.7,31.9,8.9,0,0.5,0.8,0,0.9,0,0.3,13.9,99.9,2.3,12.6,1.9,5.7,"","14.06.1996","OSP"
"IT",14,8,140,170,"800107",,,,,,,,,,,,,,,,,"","14.06.1996","OSP"
"IT",14,9,170,200,"800108",43.9,31,8.8,0,0.7,1.2,0,0.9,0.2,0.3,13,100,2.4,13.2,2,5.5,"","14.06.1996","OSP"
"IT",17,2,35,60,"",55.5,17.4,6.4,2.8,2.3,2.5,0.3,0.6,0.1,,12.1,100,5.4,22.9,4.4,4.2,"data from Spaargaren (1979), profile Sp/166","25.06.1996","OSP"
"IT",17,3,60,100,"",52.3,17.4,6.6,4.4,2.2,2.6,0.4,0.6,0.1,,13.4,100,5.1,21.1,4.1,4.1,"data from Spaargaren (1979), profile Sp/166","25.06.1996","OSP"
"IT",17,4,100,140,"",52.8,17.4,6.3,4.3,2.4,2.7,0.4,0.7,0.1,,12.9,100,5.1,22.4,4.2,4.4,"data from Spaargaren (1979), profile Sp/166","25.06.1996","OSP"
"IT",17,5,140,180,"",53.1,17.7,6.3,3.7,2.4,2.9,0.4,0.7,0.1,,12.7,100,5.1,22.3,4.2,4.4,"data from Spaargaren (1979), profile Sp/166","25.06.1996","OSP"
