"ISO","ID","HORI","TOP","BOT","SAMPLENO","HEAVY","LIGHT","QUARTZ","K_FELDSPAR","PLAGIOCLAS","REST","OPAQUE","SMINREM","EDITDATE","VERIFIED"
"NG",8,3,38,58,"780046",1.60000002384186,98.4000015258789,96,1,3,,73,"","08.03.1994",""
"NG",8,4,58,90,"780047",1.70000004768372,98.3000030517578,97,2,1,,78,"","08.03.1994",""
"NG",8,5,90,120,"780048",1.89999997615814,98.0999984741211,98,0,2,,77,"","08.03.1994",""
"NG",9,1,0,15,"780049",3.79999995231628,96.1999969482422,98,,2,,72,"","08.03.1994",""
"NG",9,2,15,26,"780050",5.59999990463257,94.4000015258789,100,,,,86,"","08.03.1994",""
"NG",9,4,46,100,"780052",14.8000001907349,85.1999969482422,100,,,,87,"","08.03.1994",""
"NA",1,6,80,100,"780081",1.39999997615814,98.5999984741211,,,,100,100,"REST=Fe-concretions with a very few quarz.","08.03.1994",""
"ID",1,1,0,13,"800138",44.4000015258789,55.5999984741211,57,2,24,17,72,"REST=mainly volcanic glass","08.03.1994",""
"ID",1,2,13,28,"800139",55.9000015258789,44.0999984741211,63,,19,18,76,"REST=mainly volcanic glass","08.03.1994",""
"ID",1,3,28,66,"800140",11.8999996185303,88.0999984741211,65,,17,18,76,"REST=mainly volcanic glass","08.03.1994",""
"ID",1,4,66,85,"800141",32.5999984741211,67.4000015258789,76,1,10,14,99,"REST=mainly volcanic glass","08.03.1994",""
"ID",1,5,85,100,"800142",58,42,86,,6,18,99,"REST=mainly volcanic glass","08.03.1994",""
"ID",1,6,100,125,"800143",53.7999992370605,46.2000007629395,90,,4,6,99,"REST=mainly volcanic glass","08.03.1994",""
"KE",6,6,120,160,"800212",0.5,99.5,93,6,1,,91,"","08.03.1994",""
"KE",7,6,75,120,"800219",3.20000004768372,96.8000030517578,88,12,,,96,"","08.03.1994",""
"KE",11,5,85,180,"800248",5.19999980926514,94.8000030517578,96,4,,,65,"","08.03.1994",""
"KE",16,1,0,10,"800279",4.5,95.5,11,88,1,,96,"","08.03.1994",""
"KE",16,2,10,35,"800280",5.40000009536743,94.5999984741211,11,86,3,,98,"","08.03.1994",""
"KE",16,3,35,80,"800281",4.69999980926514,95.3000030517578,9,91,,,94,"","08.03.1994",""
"KE",16,4,80,120,"800282",9.19999980926514,90.8000030517578,7,93,,,97,"Not enough transparant minerals for a good determination.","08.03.1994",""
"CO",2,5,100,170,"810064",0.100000001490116,99.9000015258789,100,,,,60,"Not enough material: dominant zircone with some tourmaline, rutile and anatase.","08.03.1994",""
"JM",3,4,89,154,"810264",24.2000007629395,75.8000030517578,,,,,100,"Light fraction: many Fe-concretions and quarz. Heavy fraction: some zircone and some Fe-concretions.","08.03.1994",""
"CM",1,5,83,137,"810271",6.90000009536743,93.0999984741211,99,1,,,95,"Light fraction: some Fe-concretions.","08.03.1994",""
"US",3,3,102,127,"810291",50.7999992370605,49.2000007629395,100,,,,100,"","08.03.1994",""
"US",8,4,90,125,"810375",75.3000030517578,24.7000007629395,10,,,90,100,"REST=Fe-concretions. A few zircone minerals in the mount.","08.03.1994",""
"US",9,7,120,150,"810383",18.2000007629395,81.8000030517578,47,2,,51,,"REST=Fe-concretions","08.03.1994",""
"US",10,4,80,103,"810387",0.200000002980232,99.8000030517578,7,,,93,100,"REST=Fe-concretions","08.03.1994",""
"GE",2,5,74,99,"820005",2.09999990463257,97.9000015258789,10,,,90,100,"Few augite grains.","08.03.1994",""
"GE",1,7,80,90,"820015",73.0999984741211,26.8999996185303,9,1,,90,98,"REST=Fe-concretions","08.03.1994",""
"CO",15,4,77,108,"820107",1.29999995231628,98.6999969482422,100,,,,100,"A few zircone grains and many Fe-concretions.","08.03.1994",""
"CO",18,6,86,112,"820133",0.699999988079071,99.3000030517578,100,,,,93,"","08.03.1994",""
"UY",1,1,0,23,"820239",,,78,17,5,,48,"","16.10.1996",""
"UY",1,2,23,32,"820240",,,80,13,7,,62,"","16.10.1996",""
"UY",1,3,32,48,"820241",,,82,10,8,,45,"","16.10.1996",""
"UY",1,4,48,78,"820242",,,77,13,10,,41,"","16.10.1996",""
"UY",1,5,78,105,"820243",,,78,14,8,,44,"","16.10.1996",""
"UY",1,6,105,153,"820244",,,77,16,7,,48,"","16.10.1996",""
"MZ",1,3,30,45,"830003",,,98,2,,,97,"REST=muscovite","08.03.1994",""
"MZ",1,5,130,145,"830005",,,99,1,,,87,"","08.03.1994",""
"MZ",1,7,400,460,"830007",,,98,1,1,,83,"","08.03.1994",""
"MZ",2,3,30,65,"830010",,,88,,1,11,93,"REST=muscovite","08.03.1994",""
"MZ",2,5,130,240,"830012",10.1999998092651,89.8000030517578,100,,,,94,"","08.03.1994",""
"MZ",2,7,240,280,"830014",,,89,1,,9,93,"REST=muscovite","08.03.1994",""
"MZ",2,9,550,560,"830016",,,84,,1,15,97,"REST=muscovite","08.03.1994",""
"MZ",3,4,30,60,"830020",,,87,2,1,10,98,"REST=muscovite","08.03.1994",""
"MZ",3,6,95,160,"830022",36.9000015258789,63.0999984741211,90,10,,,100,"A few zircone grains in the mount.","08.03.1994",""
"MZ",3,8,330,390,"830024",,,85,3,1,11,94,"REST=muscovite","08.03.1994",""
"MZ",4,4,30,50,"830029",,,100,,,,97,"","08.03.1994",""
"MZ",4,6,125,170,"830031",,,100,,,,96,"","08.03.1994",""
"MZ",5,3,30,50,"830035",,,23,20,57,,21,"","08.03.1994",""
"MZ",5,5,82,125,"830037",,,19,18,63,,10,"","08.03.1994",""
"KE",29,4,98,140,"830180",4.90000009536743,95.0999984741211,99,1,,,81,"","08.03.1994",""
"MZ",6,2,21,52,"830450",,,100,,,,82,"","08.03.1994",""
"MZ",6,5,131,160,"830453",,,100,,,,86,"","08.03.1994",""
"MZ",6,7,325,375,"830455",,,100,,,,82,"","08.03.1994",""
"CN",7,6,80,120,"840302",2,98,99,1,,,89,"","08.03.1994",""
"MY",1,4,97,170,"850004",3.09999990463257,96.9000015258789,100,,,,10,"In the light fraction some Fe-concretions.","08.03.1994",""
"MY",3,5,103,150,"850017",1.5,98.5,97,3,0,,74,"In the light fraction many Fe-concretions.","13.01.1997","OSP"
