"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED","CODETYPE"
"JM",1,7,109,155,"810253",60.5,15.9,11.4,0.07,0.46,0.12,,1.14,0.04,0.58,8.7,98.9,6.5,14.1,4.4,2.2,"","14.12.1994","","JM0017"
"JM",1,8,0,35,"810254",61.4,13.6,8.5,0.28,0.34,0.1,,1.11,0.36,0.48,12.3,98.5,7.7,19.2,5.5,2.5,"","14.12.1994","","JM0018"
"JM",2,1,0,21,"810255",81.2,4.6,2.7,0.22,0.2,0.06,,0.28,0.09,0.37,10.2,99.9,30,80.1,21.8,2.7,"","14.12.1994","","JM0021"
"JM",2,2,21,42,"810256",88.3,3.7,3.1,0.12,0.26,0.08,,0.47,0.01,0.13,3.4,99.6,40.5,75.8,26.4,1.9,"","14.12.1994","","JM0022"
"JM",2,3,42,82,"810257",71.3,12.8,4.5,0.77,1.64,0.27,,0.69,0.01,0.34,7.9,100.2,9.5,42.2,7.7,4.5,"","14.12.1994","","JM0023"
"JM",2,4,82,130,"810258",68,14.7,4.7,0.8,1.82,0.27,,0.67,0.05,0.43,8.4,99.8,7.9,38.5,6.5,4.9,"","14.12.1994","","JM0024"
"JM",2,5,130,170,"810259",71.6,12.9,4.2,0.58,1.69,0.25,,0.58,0.08,0.39,7.3,99.6,9.4,45.4,7.8,4.8,"","14.12.1994","","JM0025"
"JM",2,6,0,35,"810260",86.6,4.1,3.4,0.15,0.25,0.07,,0.48,0.03,0.19,5.2,100.5,35.8,67.8,23.5,1.9,"","14.12.1994","","JM0026"
"JM",3,1,0,10,"810261",4.9,41.8,16.8,0.61,0.15,0.09,,2.43,0.69,1.74,29.2,98.4,0.2,0.8,0.2,3.9,"","14.12.1994","","JM0031"
"JM",3,2,10,27,"810262",4.8,43.7,17.5,0.47,0.14,0.09,,2.53,0.73,1.66,26.7,98.3,0.2,0.7,0.1,3.9,"","14.12.1994","","JM0032"
"JM",3,3,27,89,"810263",4.6,46.4,18.2,0.37,0.13,0.08,,2.54,0.56,1.8,24.7,99.4,0.2,0.7,0.1,4,"","14.12.1994","","JM0033"
"JM",3,4,89,154,"810264",3.6,46.8,18.5,0.42,0.11,0.04,,2.62,0.3,1.8,24.1,98.3,0.1,0.5,0.1,4,"","14.12.1994","","JM0034"
"JM",3,5,154,180,"810265",3.6,47.6,18.6,0.44,0.1,0.04,,2.65,0.35,1.84,14.1,89.3,0.1,0.5,0.1,4,"","14.12.1994","","JM0035"
"JM",3,6,0,35,"810266",4.9,43.4,17.4,0.48,0.15,0.09,,2.51,0.74,1.72,27.3,98.7,0.2,0.7,0.2,3.9,"","14.12.1994","","JM0036"
"JM",4,1,0,21,"900003",59.7,13.3,10.7,0.14,0.3,0.15,,1.29,0.19,0.12,13.9,99.8,7.6,14.9,5,1.9,"","14.12.1994","","JM0041"
"JM",4,2,21,40,"900004",44.2,26.9,15.5,0.03,0.34,0.19,,1.42,0.02,0.05,14,102.7,2.8,7.6,2,2.7,"","14.12.1994","","JM0042"
"JM",4,3,40,70,"900005",45,27.5,15.5,0,0.32,0.25,,1.46,0.01,0.05,12.9,103,2.8,7.7,2,2.8,"","14.12.1994","","JM0043"
"JM",4,4,70,112,"900006",50.2,25.8,13.4,0,0.41,0.47,,1.4,0.02,0.04,11.3,103,3.3,10,2.5,3,"","14.12.1994","","JM0044"
"JM",4,5,112,170,"900007",48,25,12.9,0,0.49,0.49,,1.4,0.02,0.03,10.7,99,3.3,9.9,2.5,3,"","14.12.1994","","JM0045"
"JM",4,6,170,220,"900008",63.7,18.1,7.3,0.05,0.53,0.39,,0.9,0.01,0.02,8.4,99.4,6,23.2,4.8,3.9,"","14.12.1994","","JM0046"
"JM",4,7,220,225,"900009",57.2,20.4,10.1,0.03,1.02,0.62,,1.15,0.03,0.04,8,98.6,4.8,15.1,3.6,3.2,"","14.12.1994","","JM0047"
"JM",4,8,225,250,"900010",0.2,0,0.9,35.2,15.9,0,,0.02,0.01,0,46.5,98.7,,0.6,0.6,0,"","14.12.1994","","JM0048"
"LK",1,1,0,16,"820212",0.2,0,0.9,35.2,15.9,0,,0.02,0.01,0,0,0,,0.6,0.6,0,"","","","LK0011"
"LK",1,2,16,45,"820213",56,18.1,9.4,2.99,2.16,0.44,,1.06,0.11,0.01,7.7,98,5.3,15.9,3.9,3,"","","","LK0012"
"LK",1,3,45,60,"820214",55.3,18.3,10.6,3.52,2.84,0.47,,1.28,0.1,0.1,6.6,99.1,5.1,13.9,3.7,2.7,"","","","LK0013"
"LK",1,4,60,83,"820215",54,19,12.3,2.36,2.13,0.25,,1.69,0.14,0.07,8.5,100.4,4.8,11.7,3.4,2.4,"","","","LK0014"
"LK",1,5,83,108,"820216",50.3,21.8,12.3,1.45,1.24,0.2,,1.46,0.24,0.03,10,99,3.9,10.9,2.9,2.8,"","","","LK0015"
"LK",1,6,108,140,"820217",50.1,22.8,12.1,1.14,0.85,0.29,,1.47,0.16,0.08,10.3,99.3,3.7,11,2.8,3,"","","","LK0016"
"LK",2,1,0,12,"820218",57.6,17.5,9.4,2.9,0.81,0.73,,4.04,0.21,0.06,5.8,99.1,5.6,16.3,4.2,2.9,"","","","LK0021"
"LK",2,2,12,30,"820219",55.4,18.7,9.6,2.7,0.8,0.63,,3.26,0.21,0.03,6.7,98,5,15.4,3.8,3.1,"","","","LK0022"
"LK",2,3,30,56,"820220",56.5,18.8,10,2.5,0.74,0.61,,3.13,0.22,0.05,6.5,99,5.1,15,3.8,2.9,"","","","LK0023"
"LK",2,4,56,95,"820221",56.6,19,10.5,1.16,0.51,0.35,,2.16,0.19,0.04,7.8,98.3,5.1,14.4,3.7,2.8,"","","","LK0024"
"LK",2,5,95,137,"820222",57.7,18.3,10,2.4,0.82,0.47,,1.85,0.18,0.03,6.3,98,5.4,15.4,4,2.9,"","","","LK0025"
"LK",2,6,137,0,"820223",51.9,18.9,11.1,6.53,2.93,0.62,,1.38,0.21,0.47,2.7,96.7,4.7,12.4,3.4,2.7,"","","","LK0026"
"LK",3,1,0,15,"820227",60.9,17.6,7.2,2.44,1.53,2.48,,0.99,0.04,0.13,5.1,98.4,5.9,22.5,4.7,3.8,"","","","LK0031"
"LK",3,2,15,21,"820228",59.8,17.7,7.7,2.54,1.55,2.4,,1.02,0.08,0.13,4.9,97.8,5.7,20.7,4.5,3.6,"","","","LK0032"
"LK",3,3,21,29,"820229",59.4,18.4,8.1,2.43,1.62,2.41,,1.11,0.16,0.11,5.7,99.4,5.5,19.5,4.3,3.6,"","","","LK0033"
"LK",3,4,29,44,"820230",57,18.7,8.2,2.61,1.5,2.58,,1.07,0.16,0.09,5.6,97.5,5.2,18.5,4,3.6,"","","","LK0034"
"LK",3,5,44,58,"820231",54.6,19.4,8.5,2.97,1.55,2.74,,0.98,0.14,0.12,5.9,96.9,4.8,17.1,3.7,3.6,"","","","LK0035"
"LK",3,6,58,125,"820232",44,14.3,17,8.22,4.51,2.46,,0.74,0.38,0.18,6.8,98.6,5.2,6.9,3,1.3,"","","","LK0036"
"LK",4,1,0,7,"820233",40.5,17.4,10.7,0.23,0.48,0.5,,2.13,0.03,0.11,27.9,100,4,10.1,2.8,2.6,"","","","LK0041"
"LK",4,2,7,18,"820234",49,19.3,12.5,0.04,0.43,0.51,,2.37,0.03,0.08,15.9,100.2,4.3,10.4,3,2.4,"","","","LK0042"
