"ISO","ID","HORI","TOP","BOT","SAMPLENO","KAOL","MILL","VERM","CHLOR","SMEC","HALL","MIX","QUAR","FELD","GIBB","GOET","HEM","MINX","MINY","MINZ","FE","AL","AMMFE","AMMAL","AMMSI","FEP","ALP","CP","PRET","PHNAF","ODOE","MI","CMINREM","EDITDATE","VERIFIED","CODETYPE","TYPE"
"BR","22","2","18","30","870070","5","4","","","4","","","","","","","","","","","0.1","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0222","2"
"BR","22","1","0","18","870069","5","4","","","4","","","","","","","","","","","0.1","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0221","1"
"BR","22","3","30","51","870071","8","3","","","5","","","","","","","","","","","0.4","0.1","0.1","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0223","3"
"BR","23","7","160","250","870079","6","1","","","4","","3","","","","2","","","","","0.6","0.1","0","0.1","0","","","","31","","","","","1995-03-02 00:00:00","","BR0237","7"
"BR","23","6","110","130","870078","6","1","","","2","","3","","","","2","","","","","0.4","0.1","0","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0236","6"
"BR","23","3","28","56","870075","8","2","","","3","","3","","","","2","","","","","2","0.3","0.3","0.2","0","","","","40","","","","","1995-03-02 00:00:00","","BR0233","3"
"BR","23","2","8","28","870074","8","3","","","4","","3","","","","3","","","","","2","0.3","0.3","0.2","0","","","","34","","","","","1995-03-02 00:00:00","","BR0232","2"
"BR","23","1","0","8","870073","8","3","","","4","","3","","","","3","","","","","0.8","0.1","0.2","0.1","0","","","","15","","","","","1995-03-02 00:00:00","","BR0231","1"
"BR","23","5","88","150","870077","6","1","","","2","","3","","","","2","","","","","1.3","0.2","0.1","0.2","0","","","","33","","","","","1995-03-02 00:00:00","","BR0235","5"
"BR","23","4","56","88","870076","8","1","","","2","","3","","","","2","","","","","1.4","0.2","0.1","0.2","0","","","","","","","","","1995-03-02 00:00:00","","BR0234","4"
"BR","24","4","80","120","870083","5","","","2","","","","","2","5","4","","","","","1.4","0.3","0","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0244","4"
