"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED","CODETYPE"
"ID","2","2","5","30","800145","38.8","29.6","12.4","0.47","0.51","0.13","","1.47","0.34","0.15","16.9","100.8","2.2","8.3","1.8","3.7","","1995-05-19 00:00:00","","ID0022"
"ID","2","3","30","75","800146","39.9","31.6","12.5","0.33","0.3","0.11","","1.43","0.34","0.12","14.4","101","2.1","8.5","1.7","4","","1995-05-19 00:00:00","","ID0023"
"ID","2","4","75","120","800147","39.3","31.3","12.5","0.34","0.21","0.08","","1.41","0.38","0.11","13.6","99.2","2.1","8.4","1.7","3.9","","1995-05-19 00:00:00","","ID0024"
"ID","2","5","120","170","800148","40.9","32.5","12.4","0.31","0.19","0.07","","1.37","0.36","0.11","13.6","101.8","2.1","8.8","1.7","4.1","","1995-05-19 00:00:00","","ID0025"
"ID","1","2","13","28","800139","38.9","30.2","12.8","0.21","0.19","0.07","","1.59","1.68","0.1","14.5","100.2","2.2","8.1","1.7","3.7","","1995-05-19 00:00:00","","ID0012"
"ID","1","3","28","66","800140","38.4","32.1","13","0.16","0.17","0.06","","1.62","0.38","0.11","14.1","100.1","2","7.9","1.6","3.9","","1995-05-19 00:00:00","","ID0013"
"ID","1","4","66","85","800141","38.6","32","13.2","0.14","0.13","0.05","","1.64","0.35","0.09","13.6","99.8","2","7.8","1.6","3.8","","1995-05-19 00:00:00","","ID0014"
"ID","1","5","85","100","800142","39","32.1","13.3","0.14","0.13","0.05","","1.66","0.33","0.08","13.6","100.4","2.1","7.8","1.6","3.8","","1995-05-19 00:00:00","","ID0015"
"ID","1","6","100","125","800143","39.2","32.1","13.4","0.15","0.14","0.05","","1.68","0.34","0.08","13.6","100.7","2.1","7.8","1.6","3.8","","1995-05-19 00:00:00","","ID0016"
"ID","3","1","0","20","800149","41.5","23.2","9.5","3","3.2","0.49","","1.02","0.3","0.47","18.1","100.8","3","11.6","2.4","3.8","","1995-05-19 00:00:00","","ID0031"
"ID","3","2","20","44","800150","42.2","22.1","9.9","3.57","2.78","0.52","","1.03","0.33","0.41","16.4","99.2","3.2","11.3","2.5","3.5","","1995-05-19 00:00:00","","ID0032"
"ID","3","3","44","69","800151","40.9","27.8","12.1","1.41","2.11","0.29","","1.26","0.45","0.33","15","101.7","2.5","9","2","3.6","","1995-05-19 00:00:00","","ID0033"
"ID","3","4","69","85","800152","34.9","29.7","12.8","1.27","0.42","0.16","","1.31","0.42","0.49","16.3","97.8","2","7.3","1.6","3.6","","1995-05-19 00:00:00","","ID0034"
"ID","3","5","85","101","800153","37.5","29.8","12.9","0.9","0.45","0.18","","1.35","0.45","0.49","14.9","98.9","2.1","7.7","1.7","3.6","","1995-05-19 00:00:00","","ID0035"
"ID","3","6","101","126","800154","36.6","29.7","13.2","0.79","0.41","0.22","","1.39","0.41","0.55","15.1","98.4","2.1","7.4","1.6","3.5","","1995-05-19 00:00:00","","ID0036"
"ID","3","7","126","150","800155","36.7","29.8","13","0.68","2.08","0.34","","1.37","0.39","0.58","15.3","100.2","2.1","7.5","1.6","3.6","","1995-05-19 00:00:00","","ID0037"
"ID","4","1","0","26","800156","38.3","30.2","12.8","0.32","1.31","0.13","","1.64","0.17","0.19","15.8","100.9","2.2","8","1.7","3.7","","1995-05-19 00:00:00","","ID0041"
"ID","4","2","26","36","800157","36.8","29.7","14.3","0.37","0.46","0.14","","1.64","1.44","0.14","14.9","99.9","2.1","6.9","1.6","3.3","","1995-05-19 00:00:00","","ID0042"
"ID","4","3","36","80","800158","38.4","32.7","13.7","0.22","0.24","0.11","","1.66","0.55","0.14","14.7","102.4","2","7.5","1.6","3.7","","1995-05-19 00:00:00","","ID0043"
"ID","4","4","80","120","800159","37","32.2","13.8","0.21","0.22","0.09","","1.68","0.57","0.14","14.4","100.3","2","7.1","1.5","3.7","","1995-05-19 00:00:00","","ID0044"
"ID","4","5","120","170","800160","35.6","32","14","0.21","0.23","0.09","","1.7","0.5","0.14","14.8","99.3","1.9","6.8","1.5","3.6","","1995-05-19 00:00:00","","ID0045"
"ID","4","6","170","200","800161","31","35.9","10.5","2.11","1.56","0.15","","1.17","0.22","0.24","15","97.9","1.5","7.9","1.2","5.4","","1995-05-19 00:00:00","","ID0046"
"ID","5","1","0","30","810097","53.5","10.2","2.3","0.81","0.29","2.01","","0.92","0.02","0.06","28.1","98.2","8.9","61.9","7.8","7","","1995-05-19 00:00:00","","ID0051"
"ID","5","2","30","40","810098","43.5","23.6","3.3","1.04","0.79","2.18","","0.52","0.04","0.02","23.4","98.4","3.1","35.1","2.9","11.2","","1995-05-19 00:00:00","","ID0052"
"ID","5","3","40","55","810099","70.5","18.4","1.4","0.01","0.17","0.62","","1.28","0.01","","8.7","100.1","6.5","134.1","6.2","20.6","","1995-05-19 00:00:00","","ID0053"
"ID","5","4","55","55","810100","63.5","23.4","1.3","0","0.19","1.07","","1.31","0.01","","10.1","99.9","4.6","130","4.4","28.2","","1995-05-19 00:00:00","","ID0054"
"ID","6","1","0","10","810101","71.9","8","1.8","0.03","0.32","1.28","","0.94","0.01","0.04","16.3","100.6","15.3","106.3","13.3","7","","1995-05-19 00:00:00","","ID0061"
"ID","6","2","10","30","810102","63.1","19.5","4.5","0.01","0.78","3.39","","1.08","0.02","0.03","9.2","101.6","5.5","37.3","4.8","6.8","","1995-05-19 00:00:00","","ID0062"
"ID","6","3","30","95","810103","87.9","7.1","0.6","0","0.26","1.54","","0.41","0.01","","2.2","99","21","390","19.9","18.6","","1995-05-19 00:00:00","","ID0063"
