"ISO","ID","HORI","BTOP","BBOT","SAMPLENO","PHH2O","PHKCL","PHCACL2","CACO3","CASO4","ORGC","ORGN","C/N","CA","MG","NA","K","SUM","EXACID","EXAL","CECSOIL","CECCLAY","CECORG","ECEC","BS","ALS","ESP","EC","CHEMREM","EDITDATE","VERIFIED"
"BR","8","7","420","450","850206","5.4","4.4","","","","0.09","","","0.2","0.1","0","0","0.3","0.4","0.3","4.8","6","0.3","0.7","6","6","","0.01","specific surface = 91 m2/g fine earth","1995-03-02 00:00:00",""
"BR","8","8","520","550","850207","5.5","4.3","","0","","0.06","","","0.2","0.1","0.1","0","0.4","0.7","0.7","7.5","9","0.2","1.1","5","9","","0.01","specific surface = 93 m2/g fine earth","1995-03-02 00:00:00",""
"BR","9","1","0","16","850209","4.4","3.9","","","","3.69","0.22","","0.2","0.2","0.3","0.1","0.8","4.6","4.5","17.9","24","13","5.4","4","25","","0.06","specific surface = 113 m2/g fine earth","1995-03-02 00:00:00",""
"BR","9","2","16","41","850210","4.7","4","","","","2.26","0.13","","0","0.1","0.2","0","0.3","3.6","3.8","13.5","18","7.9","3.9","2","28","","0.02","specific surface = 107 m2/g fine earth","1995-03-02 00:00:00",""
"BR","9","3","41","80","850211","4.8","4.1","","","","1.85","0.1","","0","0.1","0.7","0.1","0.9","3.3","3.3","11.5","15","6.5","4.2","8","29","","0.01","specific surface = 105 m2/g fine earth","1995-03-02 00:00:00",""
"BR","9","4","80","150","850212","5","4.2","","","","1.09","0.08","","0.2","0.1","0.1","0","0.4","1.9","1.9","9","12","3.8","2.3","4","21","","0.01","specific surface = 106 m2/g fine earth","1995-03-02 00:00:00",""
"BR","9","5","150","200","850213","5","4.4","","","","0.53","0.04","","0.2","0","0.1","0","0.3","0.6","0.5","6.7","9","1.9","0.9","4","7","","0.01","specific surface = 105 m2/g fine earth","1995-03-02 00:00:00",""
"BR","10","1","0","16","850214","4.3","3.9","","","","5.52","0.31","","0.8","0.5","0.3","0.2","1.8","5.3","5.5","20.3","37","19","7.1","9","27","","0.23","specific surface = 112 m2/g fine earth","1995-03-02 00:00:00",""
"BR","10","2","16","42","850215","4.5","4","","","","4.19","0.22","","0.4","0.3","0.4","0.1","1.2","5","5.2","19.4","35","15","6.2","6","27","","0.09","specific surface = 112 m2/g fine earth","1995-03-02 00:00:00",""
"BR","10","3","42","64","850216","4.8","4","","","","2.81","0.11","","0.4","0.5","0.1","0.1","1.1","3.8","4","14.7","26","9.8","4.9","7","27","","0.05","specific surface = 102 m2/g fine earth","1995-03-02 00:00:00",""
"BR","10","4","64","81","850217","4.9","4.1","","","","2.03","0.08","","0.2","0.3","0.1","0.1","0.7","3.5","3.7","11.9","19","7.1","4.2","6","31","","0.02","specific surface = 110 m2/g fine earth","1995-03-02 00:00:00",""
"BR","10","5","81","101","850218","5.1","4.1","","","","1.37","0.08","","0.2","0.2","0.1","0","0.5","2.4","2.4","8.3","15","4.8","2.9","6","29","","0.01","specific surface = 96 m2/g fine earth","1995-03-02 00:00:00",""
"BR","10","6","101","140","850219","5.4","4.9","","","","0.6","0.05","","0","0.2","0.3","0","0.5","0","0.1","3.3","5","2.1","0.5","15","3","","0.01","specific surface = 95 m2/g fine earth","1995-03-02 00:00:00",""
"BR","10","7","140","200","850220","5","4.1","","","","0.09","","","0","0.1","0.2","0","0.3","1.8","1.8","5.9","12","0.3","2.1","5","31","","0.01","specific surface = 58 m2/g fine earth","1995-03-02 00:00:00",""
"BR","11","1","0","8","850221","6.1","5.3","","","","1.42","0.09","","3.4","0.6","0.1","0.1","4.2","0","0.1","6.7","74","5","4.2","63","1","","0.13","specific surface = 16 m2/g fine earth","1995-03-02 00:00:00",""
"BR","11","2","8","18","850222","5.1","4.3","","","","1.03","0.07","","1.2","0.3","0.1","0","1.6","0.4","0.4","4.4","27","3.6","2","36","9","","0.11","specific surface = 19 m2/g fine earth","1995-03-02 00:00:00",""
"BR","11","3","18","45","850223","4.8","4.2","","","","0.64","0.04","","0.4","0.1","0","0","0.5","0.8","0.9","3","13","2.2","1.3","17","30","","0.04","specific surface = 22 m2/g fine earth","1995-03-02 00:00:00",""
"BR","11","4","45","80","850224","4.8","4.3","","","","0.36","","","0.4","0.1","0.1","0","0.6","0.7","0.9","2.3","8","1.3","1.3","26","39","","0.03","specific surface = 23 m2/g fine earth","1995-03-02 00:00:00",""
"BR","11","5","80","120","850225","4.9","4.3","","","","0.2","","","0.3","0","0","0","0.3","0.6","0.8","1.4","5","0.7","0.9","21","57","","0.03","specific surface = 21 m2/g fine earth","1995-03-02 00:00:00",""
"BR","11","6","120","160","850226","4.8","4.2","","","","0.11","","","0.4","0","0","0","0.4","0.6","0.8","1.4","5","0.4","1","29","57","","0.02","specific surface = 21 m2/g fine earth","1995-03-02 00:00:00",""
"BR","11","7","160","220","850227","4.8","4.2","","","","0.09","","","0.4","0","0","0","0.4","0.5","0.7","1.2","4","0.3","0.9","33","58","","0.02","specific surface = 21 m2/g fine earth","1995-03-02 00:00:00",""
"BR","11","8","220","260","850228","5","4.4","","","","0.1","","","0.4","0.1","0","0","0.5","0.2","0.3","1","3","0.4","0.7","50","30","","0.02","specific surface = 21 m2/g fine earth","1995-03-02 00:00:00",""
"BR","13","1","0","7","850239","3.9","3.7","","","","2.64","0.21","","1","0.3","0.1","0.1","1.5","2","2","6.9","8","9.2","3.5","22","29","","0.26","specific surface = 70 m2/g fine earth","1995-03-02 00:00:00",""
"BR","13","2","7","25","850240","4.5","3.9","","","","1.37","0.1","","0.4","0.1","0.1","0","0.6","1.5","1.6","5.5","6","4.8","2.1","11","29","","0.06","specific surface = 65 m2/g fine earth","1995-03-02 00:00:00",""
"BR","13","3","25","48","850241","4.6","4","","","","0.77","0.08","","0.2","0.1","0.1","0","0.4","1.1","1.3","3","3","2.7","1.5","13","43","","0.02","specific surface = 62 m2/g fine earth","1995-03-02 00:00:00",""
