"ISO","ID","HORI","BTOP","BBOT","SAMPLENO","GRAVEL","S1","S2","S3","S4","S5","TSA","SI1","SI2","TSI","CLAY","DISPCL","BULK","PF0","PF1","PF15","PF2","PF23","PF27","PF34","PF42","COLE","SSA","PHYSREM","EDITDATE","VERIFIED","CODETYPE","TYPE"
"ML","8","1","0","10","870467","13","5.7","13.3","23.6","23.6","7.3","73.5","8","5.3","13.3","13.3","8.7","1.52","38.9","36.1","27.7","19.8","17.9","16","12.4","9.7","","","","1995-05-18 00:00:00","","ML0081","1"
"ML","8","2","10","28","870468","20","11.7","11.3","19","18","5.4","65.4","6.8","3.9","10.7","24","18.6","","","","","","","","","","","","","1995-05-18 00:00:00","","ML0082","2"
"ML","8","3","28","42","870469","35","6.9","7.9","10.6","10.5","4.7","40.6","6.1","7.3","13.4","46","0.9","","","","","","","","","","","","","1995-05-18 00:00:00","","ML0083","3"
"ML","8","4","42","56","870470","","9.1","7.9","9","8.5","4.2","38.7","7.1","5.9","13","48.3","2","","","","","","","","","","","","","1995-05-18 00:00:00","","ML0084","4"
"ML","8","5","56","66","870471","30","9.3","8.5","8.7","8","4","38.5","7.4","7.2","14.6","46.8","0.5","","","","","","","","","","","","","1995-05-18 00:00:00","","ML0085","5"
"ML","8","6","66","98","870472","","7.8","7.5","8.7","8.2","4.2","36.4","8","10.6","18.6","45","0.9","1.61","41.6","39.6","35.3","30.8","29.3","27.7","30.6","27.9","","","","1995-05-18 00:00:00","","ML0086","6"
"ML","8","7","98","128","870473","41","18.6","9.6","7.3","6.4","3.4","45.3","5.8","9.3","15.1","39.6","0.5","","","","","","","","","","","","","1995-05-18 00:00:00","","ML0087","7"
"ML","8","8","128","150","870474","","6.6","6.5","6.9","7.1","4.5","31.6","8","14.2","22.2","46.4","0.4","","","","","","","","","","","","","1995-05-18 00:00:00","","ML0088","8"
"BR","14","1","0","9","870014","12","1.1","1.6","8.3","19.1","5.6","35.7","9.5","12.5","22","42.3","12.8","1.11","54.9","51.3","41.7","33.1","29.7","26.8","19.7","18.5","","","","1995-03-02 00:00:00","","BR0141","1"
"BR","14","2","9","20","870015","0","0.7","1","6.9","16.6","5.4","30.6","9.6","14.9","24.5","44.8","21.1","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0142","2"
"BR","14","3","20","38","870016","0","0.4","1","7.7","18.5","5.3","32.9","9","12.3","21.3","45.7","21.7","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0143","3"
"BR","14","4","38","80","870017","0","0.3","0.9","8.4","20.9","5.7","36.2","7.8","8.3","16.1","47.8","18.7","0.936","57.3","55.2","39.5","28.5","24.7","23.1","17.6","16.9","","","","1995-03-02 00:00:00","","BR0144","4"
"BR","14","5","80","147","870018","0","0.5","0.8","8.3","20.9","5.5","36","8.9","9.3","18.2","45.9","17.3","0.944","56.3","56.4","41.6","30.6","27.1","24.3","17.7","17.1","","","","1995-03-02 00:00:00","","BR0145","5"
"BR","14","6","147","170","870019","0","0.3","0.8","8.3","22.1","5.6","37.1","7.9","10.1","18","45","16","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0146","6"
"BR","14","7","170","270","870020","0","0.3","0.9","8.7","22.4","5.5","37.8","8.2","10.1","18.3","43.9","1","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0147","7"
"BR","14","8","270","370","870021","0","0.4","0.9","7.3","20.2","5.9","34.7","6.4","11","17.4","47.8","29","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0148","8"
"BR","14","9","370","470","870022","0","0.6","0.9","6.2","20","5.7","33.4","8.2","12","20.2","46.3","2","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0149","9"
"BR","15","1","0","9","870023","0","0.2","1.1","4.1","8","2.3","15.7","8.3","18.5","26.8","57.5","13.8","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0151","1"
"BR","15","2","9","21","870024","0","0.2","0.7","3.3","8.7","2.3","15.2","6.3","21.2","27.5","57.3","16.9","0.874","59.6","56.8","35","29","26.9","25.3","21.5","21.1","","","","1995-03-02 00:00:00","","BR0152","2"
"BR","15","3","21","42","870025","0","0.2","0.7","2.7","8","2.2","13.8","6.9","13.7","20.6","65.7","25.9","1.041","55","51.4","38.4","33.5","31.7","29.7","25.8","25.2","","","","1995-03-02 00:00:00","","BR0153","3"
"BR","10","4","64","81","850217","","0.9","2.6","5.2","10","5.7","24.4","4.5","8.9","13.4","62.2","21.9","1.029","51.4","46.8","43.7","40.5","39.1","38.3","24.6","24.4","","","","1995-03-02 00:00:00","","BR0104","4"
"BR","10","5","81","101","850218","","1","2.4","5.1","10.4","6.1","25","8.4","11.4","19.8","55.3","21.9","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0105","5"
"BR","10","6","101","140","850219","","1.1","2.7","5.2","10.1","5.8","24.9","3.8","9.1","12.9","62.1","5","1.12","53.1","51.2","49.6","48","46.9","46.2","29","28.2","","","","1995-03-02 00:00:00","","BR0106","6"
"BR","10","7","140","200","850220","","1.9","3","4.9","9.7","6.5","26","7.3","18.7","26","47.9","0.7","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0107","7"
"BR","11","1","0","8","850221","","0.2","3.3","40.7","40.3","4.9","89.4","1.4","0.3","1.7","9.1","1.9","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0111","1"
"BR","11","2","8","18","850222","","0.2","3","32.4","38.1","6.5","80.2","2.2","1.2","3.4","16.5","4.5","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0112","2"
"BR","11","3","18","45","850223","","0.1","2.5","27.7","35.4","7","72.7","3.5","0.9","4.4","23","8.4","1.554","34.1","33","27.5","21.9","18.8","17.5","10.9","10","","","","1995-03-02 00:00:00","","BR0113","3"
"BR","11","4","45","80","850224","","0.2","2.5","24.8","33.2","7.2","67.9","2.5","0.6","3.1","29.1","13.8","1.512","35.6","33.7","28.7","23.8","22","20.9","13.4","12.7","","","","1995-03-02 00:00:00","","BR0114","4"
"BR","11","5","80","120","850225","","0.3","2.6","25.3","33.3","6.7","68.2","1.8","1.7","3.5","28.2","0","1.402","36.8","34.4","27.9","21.4","18.7","17.2","13.9","13.2","","","","1995-03-02 00:00:00","","BR0115","5"
"BR","11","6","120","160","850226","","0.3","2.8","25.2","31.7","6.6","66.6","2.5","0.3","2.8","30.6","0","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0116","6"
"BR","11","7","160","220","850227","","0.3","2.6","25.2","31.2","6.4","65.7","3.8","0.9","4.7","29.6","0","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0117","7"
"BR","11","8","220","260","850228","","0.3","3.1","26.9","30.4","4.7","65.4","3.3","1.6","4.9","29.6","0","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0118","8"
"BR","11","9","260","300","850229","","0.5","3.3","26.3","30.6","6.5","67.2","1.7","2","3.7","29","0","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0119","9"
"BR","12","1","0","5","850230","","1.2","1.9","5.9","5.7","2.3","17","10.5","16.9","27.4","55.6","26.7","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0121","1"
"BR","12","2","5","38","850231","","0.4","0.6","1.6","1.4","0.6","4.6","9.9","13","22.9","72.5","26.3","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0122","2"
"BR","12","3","38","89","850232","","0.2","0.6","1.7","1.7","0.6","4.8","14.5","8.4","22.9","72.2","44.2","0.717","59.2","54.6","44.9","34.8","31.8","29","24.5","23","","","","1995-03-02 00:00:00","","BR0123","3"
"BR","12","4","89","124","850233","","0.3","0.6","0.7","1.5","0.8","3.9","10.6","9.5","20.1","76.1","47.4","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0124","4"
"BR","12","5","124","170","850234","","0","0.4","1.2","1.1","0.4","3.1","8.1","12.4","20.5","76.4","50.8","","56.5","52.5","44.3","35","31.9","29.2","26.6","25.7","","","","1995-03-02 00:00:00","","BR0125","5"
"BR","12","6","170","210","850235","","0.1","0.3","1","0.9","0.4","2.7","12.3","9.2","21.5","75.9","0","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0126","6"
"BR","12","7","210","270","850236","","0.1","0.2","0.7","0.7","0.4","2.1","11.4","9.3","20.7","77.1","0","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0127","7"
"BR","12","8","270","360","850237","","0.1","0.3","0.7","0.7","0.3","2.1","18.4","10.2","28.6","69.4","0","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0128","8"
"BR","12","9","360","400","850238","","0","0.4","0.6","0.8","0.5","2.3","15","13.8","28.8","68.9","0","","","","","","","","","","","","","1995-03-02 00:00:00","","BR0129","9"
