"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED"
"DE","11","5","20","45","670158","45.6","28.5","9.3","0","1.03","3.65","0.67","0.91","0.08","0.24","9.3","99.3","2.7","13.2","2.3","4.8","","1997-02-04 00:00:00","OSP"
"DE","11","6","45","70","670159","45.8","28.2","9.1","0","1.17","3.59","0.65","0.91","0.1","0.2","8.6","98.4","2.8","13.4","2.3","4.9","","1997-02-04 00:00:00","OSP"
"DE","11","7","70","100","670160","47","28.5","8.1","0","0.98","5","1.04","0.87","0.11","0.16","6.9","98.7","2.8","15.5","2.4","5.5","","1997-02-04 00:00:00","OSP"
"AU","31","1","0","10","780101","66.7","20","2.8","0.18","0.25","0.26","","2.32","0.01","0.23","8.1","100.8","5.7","62.2","5.2","11","","2003-05-01 00:00:00","OSP"
"AU","31","2","10","20","780102","62.6","23.2","2.4","0.11","0.27","0.21","","2.05","0","0.16","9","100","4.6","70.8","4.3","15.4","","2003-05-01 00:00:00","OSP"
"AU","31","3","20","40","780103","57.9","27.1","2.4","0.07","0.23","0.17","","1.9","0","0.11","10.1","100","3.6","63.6","3.4","17.5","","2003-05-01 00:00:00","OSP"
"KE","17","2","10","20","800023","51.2","19.9","11.1","0.21","0.54","0.51","","0.9","0.15","0.19","11.1","100.1","4.4","12.3","3.2","2.8","","1996-01-25 00:00:00","OSP"
"KE","17","3","60","70","800024","53.4","18.9","10.5","0.29","0.6","0.52","","0.89","0.19","0.17","10.4","100.4","4.8","13.5","3.5","2.8","","1996-01-25 00:00:00","OSP"
"KE","17","4","110","120","800025","51.2","20.9","10.8","0.18","0.74","0.55","","0.8","0.03","0.18","10.3","100.8","4.2","12.6","3.1","3","","1996-01-25 00:00:00","OSP"
"KE","17","5","140","150","800026","50.2","20.5","11.6","0.07","0.53","0.54","","0.94","0.12","0.2","11.2","100.2","4.2","11.5","3.1","2.8","","1996-01-25 00:00:00","OSP"
"KE","18","1","0","10","800037","52.4","20.1","10.6","0.05","0.52","0.54","","1.14","0.11","0.23","11","101.2","4.4","13.2","3.3","3","","1996-01-25 00:00:00","OSP"
"KE","18","2","10","20","800038","54.5","19.4","10","0.05","0.53","0.62","","1.32","0.11","0.24","10.5","101.3","4.8","14.5","3.6","3","","1996-01-25 00:00:00","OSP"
"KE","18","3","20","30","800039","50.2","21.4","10.9","0.06","0.54","0.57","","1.19","0.03","0.15","11","100.5","4","12.2","3","3.1","","1996-01-25 00:00:00","OSP"
"KE","18","4","30","40","800040","49.5","22","11.1","0.05","0.51","0.59","","1.07","0.02","0.14","11.4","100.9","3.8","11.8","2.9","3.1","","1996-01-25 00:00:00","OSP"
"KE","18","5","50","60","800041","47.1","23.2","11.2","0.31","0.51","0.53","","0.99","0.02","0.1","12.7","10","3.4","11.2","2.6","3.2","","1996-01-25 00:00:00","OSP"
"KE","18","6","60","70","800042","48.1","23.4","11.2","0.14","0.49","0.55","","1","0.02","0.12","12.2","101.3","3.5","11.4","2.3","3.3","","1996-01-25 00:00:00","OSP"
"KE","19","1","10","20","800076","53.8","20.2","10","0.04","0.46","0.69","","1.46","0.04","0.24","10.5","101.2","4.5","14.3","3.4","3.2","","1996-01-25 00:00:00","OSP"
"KE","19","2","30","40","800077","48.7","21.2","12.9","0.04","0.46","0.69","","1.54","0.02","0.26","10.9","100.8","3.9","10.1","2.8","2.6","","1996-01-25 00:00:00","OSP"
